1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
481	"Helyettesíthet?k-e a kishajón alkalmazott Szabályzatban egyes esetekre el?írt a jelz?testek? Igen, az el?írt gömb és kúp"	méretei 50 százalékkal csökkenthet?k azonos formát mutató szerkezet alkalmazásakor.	távolról azonos alakot mutató szerkezettel helyettesíthet?k.	méretei 150 százalékkal növelve helyettesíthet?k azonos alakot mutató szerkezet alkalmazásakor.		2
482	"Mivel jelzi nappal a hajó, ha vitorla mellett gépi er?t is használ?"	Egy csúcsával felfelé néz? fekete kúppal.	Egy sárga kett?skúppal.	Egy csúcsával lefelé mutató fekete kúppal.		3
483	Hogyan ismeri fel a veszélyes árukat szállít hajókat nappal? A veszélyes áru jellegének megfelel? számú	"csúcsával felfelé néz? egy, kett? vagy három kék kett?skúpot viselnek."	"csúcsával lefelé néz? egy, kett? vagy három kék kúpot viselnek."	"csúcsával lefelé néz? egy, kett? vagy három fekete kúpot viselnek."		2
484	Kisgéphajója meghibásodott. Hogy biztonságos helyre hajózzon evez?vel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?	"A kisgéphajóra el?írt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni."	"Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi er?vel és nem vitorlával haladok."	"Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi er?vel és nem vitorlával haladok."		3
485	Vitorlás kishajójával szélcsendes id?ben partra/kiköt?be szeretne jutni. Segédmotorral nem rendelkezik ezért evez?vel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?	"A vitorlás kishajóra el?írt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni."	"Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi er?vel és nem vitorlával haladok."	"Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi er?vel és nem vitorlával haladok."		3
486	"Milyen esetben észlelheti gyorsjáratú hajón a két gyors, perceként 100-120-szor villanó sárga fényt?"	Az elindulást követ?en azonnal viseli.	Akkor viseli azokat amikor eléri a 40 km/h sebességet.	"Az utazósebesség elérését?l viseli azokat még akkor is, ha az nem éri el a 40 km/h sebességet."	xxx-3948.jpg	3
487	Milyen méret?ek lehetnek a tavon közleked? kishajón alkalmazott jelz?eszközök a Szabályzat II. része alapján?	"A gömb átmér?je 0,8 m, a kúp magassága 0,6 m, alapátmér?je 0,4 m, míg a lobogó és tábla hossza és szélessége 0,5 m."	"A lobogó valamint a tábla hossza és szélessége, a kúp magassága és alapátmér?je, valamint a gömb átmér?je legalább 0,4 m."	"A lobogó valamint a tábla hossza és szélessége 1,0 m, a gömb átmér?je valamint a kúp magassága és alapátmér?je 0,6 m."		2
488	"A Szabályzat II. része alapján, melyek a legkisebb elfogadható méretei tavon a vitorla mellett gépi er?t is használó kishajón alkalmazott fekete kúpnak? A kúp magassága és alapátmér?je:"	"0,4 x 0,4 m."	"0,3 x 0,3 m."	"0,5 x 0,5 m."	teszt-1234.jpg	1
489	"Hogyan ismeri fel azt nappal, hogy egy hajó 20 méternél kisebb hosszúságú, de 12 f?nél több utas szállítására rendelkezik engedéllyel?"	Egy sárga kett?skúpot visel.	Egy csúcsával lefelé fordított fekete kúpot visel.	Egy csúcsával felfelé fordított sárga kúpot visel.		1
490	"Hogyan ismeri fel azt nappal, hogy egy hajó gyúlékony árut szállít?"	Egy csúcsával felfelé fordított fekete kúpot visel.	Egy csúcsával lefelé fordított kék kúpot visel.	Függ?leges vonalban két csúcsával lefelé fordított kék kúpot visel.		2
491	"Hogyan ismeri fel azt nappal, hogy egy hajó egészségre ártalmas árut szállít?"	Függ?leges vonalban két csúcsával lefelé fordított kék kúpot visel.	Függ?leges vonalban három csúcsával lefelé fordított kék kúpot visel.	Egy csúcsával lefelé fordított kék kúpot visel.		1
492	"Hogyan ismeri fel azt nappal, hogy egy hajó robbanásveszélyes árut szállít?"	Függ?leges vonalban két csúcsával lefelé fordított kék kúpot visel.	Függ?leges vonalban három csúcsával lefelé fordított kép kúpot visel.	Egy csúcsával lefelé fordított kék kúpot visel.		2
493	"Hogyan ismeri fel azt, hogy egy gyorsjáratú hajó elérte utazó sebességét?"	"Az utazósebesség elérését?l függ?leges vonalban két gyors, perceként 100-120-szor villanó sárga fényt visel."	"Az utazósebesség elérését?l egy gyors, perceként 100-120-szor villanó sárga fényt visel."	"Az utazósebesség elérését?l függ?leges vonalban két gyors, perceként 40-60-szor villanó fehér fényt visel."		1
494	Milyen menetben lév? hajóra utalhat a zöld fény?	Kishajónak nem tekinthet? vitorlás hajó.	Vitorlás kishajó.	"Vitorla mellett saját gépi er?t is használó olyan vitorlás hajó, amely nem kishajó."	xxx-3331.jpg	1
495	Milyen hajót jelölhetnek a képen látható fények?	Menetben lév? vitorlás kishajó.	"Menetben lév? olyan vitorlás hajó, amely nem kishajó."	"Menetben lév? vitorla mellett saját gépi er?t is használó olyan vitorlás hajó, amely kishajó."	xxx-3300.jpg	2
496	Milyen hajóra utalhat a vörös fény?	Kishajónak nem tekinthet? vitorlával haladó hajó.	Menetben lév? vitorlás kishajó.	"Vitorla mellett saját gépi er?t is használó olyan vitorlás hajó, amely nem kishajó."	xxx-3302.jpg	1
497	Milyen menetben lév? hajó fényei láthatók az ábrán az alábbiak közül?	"Géphajóként közleked? vitorlás hajó, ami nem kishajó szemb?l."	Vitorla mellett gépi er?t is használó vitorlás kishajó.	"Vitorlás hajó, ami nem kishajó szemb?l."	xxx-2342.jpg	3
498	Milyen menetben lév? hajó fényei láthatók az ábrán az alábbiak közül?	"Géphajóként közleked? vitorlás hajó, ami nem kishajó szemb?l."	Vitorla mellett gépi er?t is használó vitorlás kishajó.	"Vitorlás hajó, ami nem kishajó szemb?l."	xxx-2343.jpg	3
499	Állapítsa meg milyen menetben lév? hajó fénye látható az ábrán?	"Kishajónak nem tekinthet?, vitorla mellett gépi er?t is használó hajó jobb oldalát mutatja."	Kishajónak nem tekinthet? vitorlával haladó hajó jobb oldalát mutatja.	Vitorlával haladó kishajó a jobb oldalát mutatja.	xxx-3306.jpg	1
500	Állapítsa meg milyen menetben lév? hajó fénye látható az ábrán?	Vitorlával haladó kishajó a bal oldalát mutatja.	Kishajónak nem tekinthet? vitorlával haladó hajó bal oldalát mutatja.	"Kishajónak nem tekinthet?, vitorla mellett gépi er?t is használó hajó bal oldalát mutatja."	xxx-3308.jpg	3
501	Hogyan kell elhelyezni az oldalfényeket egy 7 m hosszúságot elér? vitorlás kishajón? Az oldalfényeket	egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni.	"egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni, hogy azok az árbocfénnyel azonos magasságban legyenek."	egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni a farfénnyel azonos magasságban.		1
502	Hogyan lehet elhelyezni az oldalfényeket és a farfényt egy vitorlás kishajón?	"Oldalfényeket a hajó legszéls? pontjain, a farfényt a hajó hátsó részén."	"Oldalfényeket egy közös lámpatestben az árboccsúcson vagy az árboc fels? részén, a farfényt a hajó hátsó részén."	Egy közös lámpatestben az árboccsúcson vagy az árboc fels? részén.		3
503	Mit tekintünk ment?motorosnak a Szabályzat II. része alapján?	A Szabályzat II-11. mellékletben meghatározott követelményeknek megfelel? kisgéphajó.	A hajózási hatóság által rendeltetésszer? mentésre alkalmasnak nyilvánított és a ment?motoros lajstromba bejegyzett kisgéphajó.	A hajózási hatóság által rendeltetésszer? mentésre alkalmasnak nyilvánított és a Szabályzat II-11. mellékletben meghatározott követelményeknek megfelel? kisgéphajó.	teszt-1706.jpg	3
504	Mit értünk felügyeleti hajó alatt a Szabályzat II. része alapján?	"A hajózási hatóság, a vízi- és a határrendészeti rend?ri szerv, valamint a Nemzeti Adó- és Vámhivatal (NAV) hajói."	A Honvédség és a különböz? ellen?rzésre jogosult hatóságok által üzemeltetett hajó(k).	"A hajózási-, a vízügyi-, a vízirendészeti-, a t?zoltó- és a katasztrófavédelmi hatóságok hajóit."		1
505	"Mit tekintünk kísér? kisgéphajónak a Szabályzat II. része alapján? Kísér? kisgéphajó, az olyan saját gép berendezéssel hajtott kishajó, amely"	"oktatás, edzés, verseny és vízi rendezvény ideje alatt a vitorlás és evez?s csónak, vagy vízi sporteszközök, vitorlás kishajó, illetve vízben lév? személyek kísérését, szükség esetén mentést szolgál."	csak a vízi rendezvények biztosítására szolgál.	úszómunkagépek munkavégzésének ideje alatt annak kiszolgálásával kapcsolatos feladatokat látja el.		1
506	Milyen hajó viseli az ábrán látható jelzést?	Kit?z? hajó.	A Nemzeti Adó-és Vámhivatal hajója.	A vízirendészet hajója.	xxx-1740.jpg	2
507	"Milyen fényjelzést alkalmazhat a veszélyhelyzetet megel?z? vagy elhárító tevékenységet végz? honvédelmi, valamint katasztrófavédelmi célú hajó?"	Nappal és éjszaka villogó kék fényjelzést alkalmazhat.	Nappal és éjszaka villogó vörös fényjelzést alkalmazhat.	Nappal és éjszaka villogó sárga fényjelzést alkalmazhat.	teszt-1726.jpg	1
508	"Milyen jelzést alkalmazhat éjszaka, ha hajója m?veletképtelen?"	"Egy fehér fény körkörös forgatásával, ami kishajónál vörös is lehet."	A morzeábécé szerinti ••• - - - ••• (SOS) jelek együtteséb?l álló fehér fényjelzéssel.	"Egy vörös fény lengetésével, ami kishajónál lehet fehér is."		3
509	"Mire készül, ha egy közelben lév? hajón vörös fényt lengetnek? A jelzést leadó hajó"	m?veletképtelen.	"veszélyben van, segítséget kér."	a hajóútban munkát végez.	xxx-3587.jpg	1
510	"Hogyan tudja jelezni nappal, ha hajója m?veletképtelen?"	Vörös zászló/lobogó lengetésével.	Körkörösen mozgatott vörös zászlóval.	Sárga zászló lengetésével.	xxx-3671.jpg	1
511	"Milyen módon jelezheti éjszaka azt, ha kishajója m?veletképtelenné vált?"	Fehér (vagy vörös) fény lengetésével.	Körkörösen mozgatott vörös fénnyel.	Kék fény lengetésével.	xxx-3672.jpg	1
512	"Mi a jelentése annak, ha egy kishajón fehér fényt lengetnek? A jelzést leadó kishajó"	"veszélyben van, segítséget kér."	m?veletképtelen.	hullámzás elleni védelemre szorul.	xxx-3588.jpg	2
513	Milyen úszólétesítmény látható az ábrán?	Fennakadt géphajó jobb oldalát mutatja.	Hullámzás elleni védelemre szoruló géphajó jobb oldalát mutatja.	"M?veletképtelen, de menetben lév? géphajó jobb oldalát mutatja."	teszt-1445.jpg	3
514	Milyen úszólétesítmény látható az ábrán?	Fennakadt géphajó bal oldalát mutatja.	Révkalauzi szolgálatot ellátó hajó bal oldalát mutatja.	"M?veletképtelen, de menetben lév? géphajó bal oldalát mutatja."	teszt-1446.jpg	3
515	"Mire következtet, ha egy közeled? hajó mells? részén vörös leng?t lát nappal?"	A hajó révkalauzi szolgálatának ellátását jelzi.	A hajó áthaladási els?bbségi jogát jelzi.	A hajó 12 f?nél több utas szállítására való jogosultságát jelzi.	teszt-1457.jpg	2
516	"Mit jeleznek a hajón látható fekete gömbök? A gömbök azt jelzik, hogy a hajó"	zátonyra futott.	m?veletképtelen.	man?verképességében korlátozott.	zzz-0002.jpg	2
517	Mit jelez a hajón látható két vörös fény? A hajó	"azt jelzi, hogy nyílt helyen vesztegel."	m?veletképtelenségét jelzi.	jobb oldala melletti elhaladás tilalmát jelzi.	zzz-0003.jpg	2
518	Milyen hajó(k) viseli(k) az ábrán látható megkülönböztet? jelzést?	A Nemzeti Adó-és Vámhivatal által üzemeltetett hajók.	Ellen?rz? hatóságok hajói a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével.	A ment?motoros hajók.	xxx-1772.jpg	2
519	"A hajótesten elhelyezett jelzésen, valamint az állami lobogón kívül, milyen kiegészít? jelzési(i) vannak az ellen?rz? hatóság hajóinak a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével?"	"Egy sárga villogó fénnyel jeleznek, ha feladatainak ellátásához szükséges."	"Egy fehér leng? kékkel keretezett fehér rombusz alakú jelzéssel, valamint ha feladatainak ellátásához szükséges - nappal és éjszaka - villogó kék fénnyel jeleznek."	"Kék villogó fénnyel jeleznek, ha feladataik ellátásához szükséges, valamint nappal egy vörös árbocszalagot viselnek."	xxx-1790.jpg	2
520	Mit jelez az ábrán látható tábla?	"A tábla olyan hajót jelöl, amely nem rendelkezik személyzettel."	A hajó személyzetéhez nem tartozó személyek hajón történ? tartózkodási tilalmát!	A hajó személyzetéhez nem tartozó személyek hajóra lépési tilalmát!	teszt-1584.jpg	3
521	"Mit jeleznek nappal a hajón látható jelz?testek (függ?leges vonalban két fekete gömb között egy fekete kett?s kúp)? A jelz?testek azt jelzik, hogy"	a hajó m?veletképességében korlátozott vagy ereszkedik.	a hajó kormányképességében korlátozott.	a hajó merülése miatt mozgásában korlátozott.	zzz-0004.jpg	1
522	Mit jelentenek a hajón látható fények?	Kormányképtelen hajó.	M?veletképességében korlátozott hajó.	Merülése miatt mozgásában korlátozott hajó.	zzz-0005.jpg	2
523	Mit jelentenek a hajón látható jelz?testek?	"A hajó kormányképtelen, ezért hajózási akadályt képez."	"A hajó m?veletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett."	"A hajó zátonyra futott, ezért hajózási akadályt képez."	zzz-0006.jpg	2
524	Mit jelentenek a hajón látható jelz?testek?	"A hajó kormányképtelen, ezért hajózási akadályt képez."	"A hajó m?veletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett."	"A hajó zátonyra futott, ezért hajózási akadályt képez."	teszt-1608.jpg	2
525	Mit jelentenek a hajón látható fények?	"A hajó kormányképtelen, ezért hajózási akadályt képez."	"A hajó zátonyra futott, ezért hajózási akadályt képez."	"A hajó m?veletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett."	zzz-0007.jpg	3
526	Mit jelentenek a hajón látható fények?	"A hajó kormányképtelen, ezért hajózási akadályt képez."	"A hajó zátonyra futott, ezért hajózási akadályt képez."	"A hajó m?veletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett."	teszt-1613.jpg	3
527	Mit jelölnek a hajókon látható jelz?testek (csúcsukkal érintkez? fekete kúpok)?	"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lév? hajókat jelölnek."	Víziúton munkát (mederfelmérést) végz? hajókat jelölnek.	Tavon vontatott kötelékkel haladó kishajókat jelölnek.	zzz-0008.jpg	1
528	Mit jelölnek a hajókon látható jelz?testek (csúcsukkal érintkez? fekete kúpok)?	"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lév? hajókat jelölnek."	Víziúton munkát (mederfelmérést) végz? hajókat jelölnek.	Tavon vontatott kötelékkel haladó kishajókat jelölnek.	xxx-1822.jpg	1
529	"Mire utalnak a hajón látható (fölül vörös alatta fehér) mindenoldalról látható fények? A fa hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és"	halászati eszköze a hajótól vízszintes irányban legfeljebb 150 méterre nyúlik ki.	halászati eszköze a hajótól vízszintes irányban legfeljebb 200 méterre nyúlik ki.	halászati eszköze a hajótól vízszintes irányban legfeljebb 50 méterre nyúlik ki.	xxx-1853.jpg	1
